survived,pclass,fare,sex,age
1,1,211.3375,female,29
1,1,151.55,male,0.92
0,1,151.55,female,2
0,1,151.55,male,30
0,1,151.55,female,25
1,1,26.55,male,48
1,1,77.9583,female,63
0,1,0,male,39
1,1,51.4792,female,53
0,1,49.5042,male,71
0,1,227.525,male,47
1,1,227.525,female,18
1,1,69.3,female,24
1,1,78.85,female,26
1,1,30,male,80
0,1,25.925,male,NA
0,1,247.5208,male,24
1,1,247.5208,female,50
1,1,76.2917,female,32
0,1,75.2417,male,36
1,1,52.5542,male,37
1,1,52.5542,female,47
1,1,30,male,26
1,1,227.525,female,42
1,1,221.7792,female,29
0,1,26,male,25
1,1,91.0792,male,25
1,1,91.0792,female,19
1,1,135.6333,female,35
1,1,26.55,male,28
0,1,35.5,male,45
1,1,31,male,40
1,1,164.8667,female,30
1,1,26.55,female,58
0,1,26.55,male,42
1,1,262.375,female,45
1,1,55,female,22
1,1,26.55,male,NA
0,1,30.5,male,41
0,1,50.4958,male,48
0,1,39.6,male,NA
1,1,27.7208,female,44
1,1,51.4792,female,59
1,1,76.2917,female,60
1,1,134.5,female,41
0,1,26.55,male,45
0,1,31,male,NA
1,1,26.2875,male,42
1,1,27.4458,female,53
1,1,512.3292,male,36
1,1,512.3292,female,58
0,1,5,male,33
0,1,47.1,male,28
0,1,47.1,male,17
1,1,120,male,11
1,1,120,female,14
1,1,120,male,36
1,1,120,female,36
0,1,26,male,49
1,1,27.7208,female,NA
0,1,78.85,male,36
1,1,78.85,female,76
0,1,61.175,male,46
1,1,61.175,female,47
1,1,53.1,male,27
1,1,53.1,female,33
1,1,262.375,female,36
1,1,86.5,female,30
1,1,29.7,male,45
1,1,55,female,NA
0,1,0,male,NA
0,1,136.7792,male,27
1,1,136.7792,female,26
1,1,151.55,female,22
0,1,52,male,NA
0,1,25.5875,male,47
1,1,83.1583,female,39
0,1,83.1583,male,37
1,1,83.1583,female,64
1,1,25.7,female,55
0,1,26.55,male,NA
0,1,71,male,70
1,1,71,female,36
1,1,26.55,female,64
0,1,71.2833,male,39
1,1,71.2833,female,38
1,1,26.55,male,51
1,1,30.5,male,27
1,1,151.55,female,33
0,1,52,male,31
1,1,52,female,27
1,1,57,male,31
1,1,57,female,17
1,1,81.8583,male,53
1,1,81.8583,male,4
1,1,81.8583,female,54
0,1,106.425,male,50
1,1,247.5208,female,27
1,1,106.425,female,48
1,1,39.6,female,48
1,1,56.9292,male,49
0,1,29.7,male,39
1,1,83.1583,female,23
1,1,227.525,female,38
1,1,78.2667,female,54
0,1,31.6792,female,36
0,1,221.7792,male,NA
1,1,31.6833,female,NA
1,1,110.8833,female,NA
1,1,26.3875,male,36
0,1,27.75,male,30
1,1,263,female,24
1,1,263,female,28
1,1,263,female,23
0,1,263,male,19
0,1,263,male,64
1,1,263,female,60
1,1,56.9292,female,30
0,1,26.55,male,NA
1,1,133.65,male,50
1,1,27.7208,male,43
1,1,133.65,female,NA
1,1,49.5,female,22
1,1,79.2,male,60
1,1,79.2,female,48
0,1,0,male,NA
0,1,53.1,male,37
1,1,53.1,female,35
0,1,38.5,male,47
1,1,211.5,female,35
1,1,59.4,female,22
1,1,59.4,female,45
0,1,79.2,male,24
1,1,89.1042,male,49
1,1,89.1042,female,NA
0,1,34.6542,male,71
1,1,28.5,male,53
1,1,30,female,19
0,1,153.4625,male,38
1,1,153.4625,female,58
1,1,63.3583,male,23
1,1,63.3583,female,45
0,1,79.2,male,46
1,1,55.4417,male,25
1,1,55.4417,female,25
1,1,76.7292,male,48
1,1,76.7292,female,49
0,1,42.4,male,NA
0,1,83.475,male,45
1,1,83.475,female,35
0,1,0,male,40
1,1,76.7292,male,27
1,1,30,male,NA
1,1,83.1583,female,24
0,1,93.5,male,55
1,1,93.5,female,52
0,1,42.5,male,42
0,1,51.8625,male,NA
0,1,50,male,55
1,1,57.9792,female,16
1,1,57.9792,female,44
1,1,77.9583,female,51
0,1,52,male,42
1,1,52,female,35
1,1,26.55,male,35
1,1,90,male,38
0,1,30.6958,male,NA
1,1,90,female,35
1,1,80,female,38
0,1,28.7125,female,50
1,1,0,male,49
0,1,26,male,46
0,1,26,male,50
0,1,211.5,male,32.5
0,1,29.7,male,58
0,1,51.8625,male,41
1,1,51.8625,female,NA
1,1,52.5542,male,42
1,1,52.5542,female,45
0,1,26.55,male,NA
1,1,211.3375,female,39
1,1,25.9292,female,49
1,1,106.425,female,30
1,1,512.3292,male,35
0,1,27.7208,male,NA
0,1,26.55,male,42
1,1,27.7208,female,55
1,1,39.4,female,16
1,1,39.4,female,51
0,1,30,male,29
1,1,77.9583,female,21
0,1,45.5,male,30
1,1,146.5208,female,58
1,1,211.3375,female,15
0,1,26,male,30
1,1,86.5,female,16
1,1,29.7,male,NA
0,1,53.1,male,19
1,1,53.1,female,18
1,1,49.5042,female,24
